route_id,service_id,trip_id,trip_headsign,direction_id,block_id,trip_short_name,shape_id,jp_trip_desc
11,全日,1全日_11時21分_系統110101,渓流館前,0,,,,
11,平日,2平日_07時16分_系統110101,渓流館前,0,,,,
11,全日,1全日_07時51分_系統110102,渓流館前,0,,,,
11,平日,2平日_14時15分_系統110103,渓流館前,0,,,,
11,平日,2平日_17時35分_系統110104,渓流館前,0,,,,
11,平日,2平日_17時50分_系統110104,渓流館前,0,,,,
11,平日,2平日_15時16分_系統110105,渓流館前,0,,,,
11,土日祝のみ,3土日祝のみ_14時26分_系統110106,渓流館前,0,,,,
11,土日祝のみ,3土日祝のみ_15時16分_系統110106,渓流館前,0,,,,
11,平日,2平日_16時36分_系統110107,渓流館前,0,,,,
12,平日,2平日_06時30分_系統120101,東病院前,0,,,,
12,全日,1全日_09時22分_系統120102,元町東,0,,,,
12,平日,2平日_08時22分_系統120102,元町東,0,,,,
12,全日,1全日_12時35分_系統120103,元町東,0,,,,
12,土日祝のみ,3土日祝のみ_15時50分_系統120103,元町東,0,,,,
12,土日祝のみ,3土日祝のみ_16時55分_系統120103,元町東,0,,,,
12,平日,2平日_15時45分_系統120104,元町東,0,,,,
12,平日,2平日_16時50分_系統120104,元町東,0,,,,
12,10～4月運行,510～4月運行_17時50分_系統120104,元町東,0,,,,
12,5～9月運行,65～9月運行_18時05分_系統120104,元町東,0,,,,
13,平日,2平日_12時56分_系統130101,湖畔桟橋前,0,,,,
13,平日,2平日_15時56分_系統130101,湖畔桟橋前,0,,,,
13,平日,2平日_18時13分_系統130102,湖畔桟橋前,0,,,,
14,平日,2平日_06時40分_系統140101,三本木営業所,0,,,,
15,平日（夏）,7平日（夏）_07時43分_系統150101,七戸案内所,0,,,,
15,平日（冬）,8平日（冬）_07時43分_系統150102,七戸案内所,0,,,,
15,休校日（夏）,14休校日（夏）_07時35分_系統150103,七戸案内所,0,,,,
15,休校日（冬）,15休校日（冬）_07時35分_系統150104,七戸案内所,0,,,,
16,平日（夏）,7平日（夏）_15時00分_系統160101,三高前,0,,,,
16,平日（冬）,8平日（冬）_15時00分_系統160102,三高前,0,,,,
17,平日（夏）,7平日（夏）_16時39分_系統170101,三本木営業所,0,,,,
17,平日（冬）,8平日（冬）_16時39分_系統170102,三本木営業所,0,,,,
18,休校日（夏）,14休校日（夏）_06時29分_系統180101,三高前,0,,,,
18,休校日（冬）,15休校日（冬）_06時29分_系統180102,三高前,0,,,,
19,休校日（夏）,14休校日（夏）_06時51分_系統190101,三高前,0,,,,
19,休校日（冬）,15休校日（冬）_06時51分_系統190102,三高前,0,,,,
20,休校日（平日）,13休校日（平日）_07時26分_系統200101,六戸高校前,0,,,,
21,平日,2平日_07時15分_系統210101,喜多美町,0,,,,
21,平日,2平日_11時30分_系統210101,喜多美町,0,,,,
21,平日,2平日_16時10分_系統210101,喜多美町,0,,,,
22,平日,2平日_09時19分_系統220101,東病院前,0,,,,
22,平日,2平日_13時19分_系統220101,東病院前,0,,,,
22,平日,2平日_17時09分_系統220101,東病院前,0,,,,
23,休校日（平日）,13休校日（平日）_06時40分_系統230101,三高前,0,,,,
24,休校日（平日）,13休校日（平日）_19時16分_系統240101,中村,0,,,,
25,4～11月,94～11月_14時36分_系統250101,指久保,0,,,,
25,12～3月,1012～3月_14時36分_系統250102,指久保,0,,,,
26,4～11月,94～11月_08時56分_系統260101,元町東,0,,,,
26,12～3月,1012～3月_08時50分_系統260102,元町東,0,,,,
27,土日祝のみ,3土日祝のみ_09時01分_系統270101,イオンスーパーセンター十和田店,0,,,,
27,土日祝のみ,3土日祝のみ_11時16分_系統270101,イオンスーパーセンター十和田店,0,,,,
